pulseheight,counts_ch_A,counts_ch_B
0.09775171065493646,0,0
0.29325513196480935,0,0
0.48875855327468226,0,0
0.6842619745845552,0,0
0.8797653958944281,0,0
1.075268817204301,0,0
1.2707722385141738,0,0
1.466275659824047,0,0
1.6617790811339197,5,0
1.857282502443793,44,0
2.0527859237536656,84,0
2.2482893450635384,95,0
2.443792766373411,76,0
2.6392961876832843,67,0
2.8347996089931575,53,0
3.0303030303030303,46,0
3.225806451612903,25,0
3.4213098729227758,27,0
3.616813294232649,28,0
3.812316715542522,30,0
4.007820136852395,39,0
4.203323558162268,24,0
4.39882697947214,28,0
4.594330400782013,39,0
4.789833822091886,38,0
4.9853372434017595,31,0
5.180840664711632,31,0
5.376344086021505,37,0
5.571847507331378,54,0
5.767350928641251,42,0
5.962854349951124,46,0
6.158357771260997,40,0
6.35386119257087,58,0
6.549364613880742,49,0
6.744868035190615,66,0
6.940371456500489,62,0
7.135874877810362,72,0
7.331378299120234,55,0
7.526881720430107,70,0
7.722385141739981,67,0
7.9178885630498534,70,0
8.113391984359726,85,0
8.308895405669599,97,0
8.504398826979472,89,0
8.699902248289344,108,0
8.895405669599217,119,0
9.09090909090909,119,0
9.286412512218963,163,0
9.481915933528835,174,0
9.67741935483871,282,0
9.872922776148583,978,0
10.068426197458455,993,0
10.263929618768328,997,0
10.459433040078201,998,0
10.654936461388074,994,0
10.850439882697946,986,0
11.04594330400782,984,0
11.241446725317692,1012,0
11.436950146627566,954,0
11.63245356793744,986,0
11.827956989247312,1026,0
12.023460410557185,976,0
12.218963831867057,1041,0
12.41446725317693,1107,0
12.609970674486803,997,0
12.805474095796676,1066,0
13.000977517106548,1176,0
13.196480938416421,1180,0
13.391984359726294,1150,0
13.587487781036167,1090,0
13.782991202346041,1157,0
13.978494623655914,941,0
14.173998044965787,895,0
14.36950146627566,767,0
14.565004887585532,722,0
14.760508308895405,705,0
14.956011730205278,657,0
15.15151515151515,576,0
15.347018572825023,578,0
15.542521994134898,499,0
15.73802541544477,461,0
15.933528836754643,479,0
16.129032258064516,424,0
16.32453567937439,425,0
16.52003910068426,435,0
16.715542521994134,415,0
16.911045943304007,377,0
17.10654936461388,402,0
17.302052785923753,393,0
17.497556207233625,371,0
17.693059628543498,358,0
17.88856304985337,363,0
18.084066471163244,356,0
18.279569892473116,313,0
18.47507331378299,332,0
18.67057673509286,348,0
18.866080156402738,319,0
19.06158357771261,358,0
19.257086999022484,382,0
19.452590420332356,380,0
19.64809384164223,438,0
19.843597262952102,1093,0
20.039100684261975,3829,0
20.234604105571847,6222,0
20.43010752688172,4803,0
20.625610948191593,2588,0
20.821114369501466,1230,0
21.01661779081134,677,0
