pulseheight,counts_ch_A,counts_ch_B
0.09775171065493646,0,0
0.29325513196480935,0,0
0.48875855327468226,0,0
0.6842619745845552,0,0
0.8797653958944281,0,0
1.075268817204301,0,0
1.2707722385141738,0,0
1.466275659824047,0,0
1.6617790811339197,17,0
1.857282502443793,174,0
2.0527859237536656,221,0
2.2482893450635384,241,0
2.443792766373411,201,0
2.6392961876832843,144,0
2.8347996089931575,113,0
3.0303030303030303,63,0
3.225806451612903,63,0
3.4213098729227758,53,0
3.616813294232649,37,0
3.812316715542522,34,0
4.007820136852395,48,0
4.203323558162268,46,0
4.39882697947214,63,0
4.594330400782013,65,0
4.789833822091886,58,0
4.9853372434017595,63,0
5.180840664711632,58,0
5.376344086021505,82,0
5.571847507331378,89,0
5.767350928641251,81,0
5.962854349951124,76,0
6.158357771260997,88,0
6.35386119257087,68,0
6.549364613880742,69,0
6.744868035190615,88,0
6.940371456500489,92,0
7.135874877810362,88,0
7.331378299120234,85,0
7.526881720430107,81,0
7.722385141739981,93,0
7.9178885630498534,85,0
8.113391984359726,98,0
8.308895405669599,86,0
8.504398826979472,89,0
8.699902248289344,83,0
8.895405669599217,88,0
9.09090909090909,122,0
9.286412512218963,111,0
9.481915933528835,115,0
9.67741935483871,398,0
9.872922776148583,845,0
10.068426197458455,905,0
10.263929618768328,835,0
10.459433040078201,784,0
10.654936461388074,640,0
10.850439882697946,617,0
11.04594330400782,650,0
11.241446725317692,593,0
11.436950146627566,564,0
11.63245356793744,538,0
11.827956989247312,541,0
12.023460410557185,490,0
12.218963831867057,556,0
12.41446725317693,481,0
12.609970674486803,441,0
12.805474095796676,421,0
13.000977517106548,432,0
13.196480938416421,375,0
13.391984359726294,364,0
13.587487781036167,386,0
13.782991202346041,381,0
13.978494623655914,374,0
14.173998044965787,429,0
14.36950146627566,391,0
14.565004887585532,391,0
14.760508308895405,320,0
14.956011730205278,329,0
15.15151515151515,279,0
15.347018572825023,297,0
15.542521994134898,316,0
15.73802541544477,269,0
15.933528836754643,254,0
16.129032258064516,270,0
16.32453567937439,249,0
16.52003910068426,254,0
16.715542521994134,298,0
16.911045943304007,271,0
17.10654936461388,212,0
17.302052785923753,245,0
17.497556207233625,256,0
17.693059628543498,213,0
17.88856304985337,243,0
18.084066471163244,246,0
18.279569892473116,217,0
18.47507331378299,214,0
18.67057673509286,217,0
18.866080156402738,221,0
19.06158357771261,211,0
19.257086999022484,189,0
19.452590420332356,182,0
19.64809384164223,155,0
19.843597262952102,176,0
20.039100684261975,213,0
20.234604105571847,195,0
20.43010752688172,174,0
20.625610948191593,175,0
20.821114369501466,155,0
21.01661779081134,165,0
21.21212121212121,170,0
