pulseheight,counts_ch_A,counts_ch_B
0.04887585532746823,0,0
0.14662756598240467,0,0
0.24437927663734113,0,0
0.3421309872922776,0,0
0.4398826979472141,0,0
0.5376344086021505,0,0
0.6353861192570869,0,0
0.7331378299120235,0,0
0.8308895405669598,0,0
0.9286412512218964,0,0
1.0263929618768328,0,0
1.1241446725317692,0,0
1.2218963831867056,0,0
1.3196480938416422,0,0
1.4173998044965788,0,0
1.5151515151515151,2,0
1.6129032258064515,6,0
1.7106549364613879,7,0
1.8084066471163245,28,0
1.906158357771261,25,0
2.0039100684261975,13,0
2.101661779081134,16,0
2.19941348973607,10,0
2.2971652003910066,14,0
2.394916911045943,10,0
2.4926686217008798,10,0
2.590420332355816,5,0
2.6881720430107525,12,0
2.785923753665689,5,0
2.8836754643206257,3,0
2.981427174975562,8,0
3.0791788856304985,2,0
3.176930596285435,5,0
3.274682306940371,7,0
3.3724340175953076,6,0
3.4701857282502444,1,0
3.567937438905181,4,0
3.665689149560117,5,0
3.7634408602150535,8,0
3.8611925708699903,3,0
3.9589442815249267,5,0
4.056695992179863,8,0
4.1544477028347995,11,0
4.252199413489736,7,0
4.349951124144672,5,0
4.447702834799609,6,0
4.545454545454545,7,0
4.643206256109481,5,0
4.740957966764418,7,0
4.838709677419355,5,0
4.936461388074291,12,0
5.034213098729228,7,0
5.131964809384164,8,0
5.2297165200391005,8,0
5.327468230694037,2,0
5.425219941348973,13,0
5.52297165200391,8,0
5.620723362658846,10,0
5.718475073313783,9,0
5.81622678396872,16,0
5.913978494623656,9,0
6.011730205278592,10,0
6.109481915933529,7,0
6.207233626588465,5,0
6.3049853372434015,12,0
6.402737047898338,9,0
6.500488758553274,6,0
6.598240469208211,8,0
6.695992179863147,12,0
6.793743890518083,13,0
6.891495601173021,16,0
6.989247311827957,13,0
7.086999022482893,16,0
7.18475073313783,18,0
7.282502443792766,13,0
7.3802541544477025,12,0
7.478005865102639,13,0
7.575757575757575,13,0
7.673509286412512,10,0
7.771260997067449,14,0
7.869012707722385,19,0
7.966764418377322,15,0
8.064516129032258,17,0
8.162267839687194,21,0
8.26001955034213,14,0
8.357771260997067,18,0
8.455522971652004,25,0
8.55327468230694,15,0
8.651026392961876,20,0
8.748778103616813,20,0
8.846529814271749,23,0
8.944281524926685,22,0
9.042033235581622,14,0
9.139784946236558,23,0
9.237536656891495,24,0
9.33528836754643,39,0
9.433040078201369,32,0
9.530791788856305,26,0
9.628543499511242,39,0
9.726295210166178,47,0
9.824046920821115,34,0
9.921798631476051,95,0
10.019550342130987,216,0
10.117302052785924,235,0
10.21505376344086,243,0
10.312805474095796,227,0
10.410557184750733,203,0
10.50830889540567,239,0
10.606060606060606,226,0
10.703812316715542,258,0
10.801564027370478,219,0
10.899315738025415,250,0
10.997067448680351,218,0
11.094819159335287,232,0
11.192570869990224,226,0
11.29032258064516,221,0
11.388074291300097,234,0
11.485826001955033,242,0
11.583577712609971,235,0
11.681329423264907,258,0
11.779081133919844,241,0
11.87683284457478,233,0
11.974584555229717,212,0
12.072336265884653,248,0
12.17008797653959,262,0
12.267839687194526,253,0
12.365591397849462,283,0
12.463343108504398,269,0
12.561094819159335,263,0
12.658846529814271,284,0
12.756598240469208,239,0
12.854349951124144,245,0
12.95210166177908,253,0
13.049853372434017,239,0
13.147605083088953,258,0
13.24535679374389,270,0
13.343108504398826,239,0
13.440860215053762,270,0
13.5386119257087,253,0
13.636363636363637,236,0
13.734115347018573,204,0
13.83186705767351,220,0
13.929618768328446,205,0
14.027370478983382,225,0
14.125122189638319,293,0
14.222873900293255,301,0
14.320625610948191,327,0
14.418377321603128,347,0
14.516129032258064,320,0
14.613880742913,281,0
14.711632453567937,223,0
14.809384164222873,213,0
14.90713587487781,219,0
15.004887585532746,200,0
15.102639296187682,157,0
15.200391006842619,172,0
15.298142717497555,180,0
15.395894428152491,178,0
15.493646138807428,188,0
15.591397849462364,190,0
15.689149560117302,180,0
15.786901270772239,169,0
15.884652981427175,145,0
15.982404692082111,158,0
16.080156402737046,158,0
16.177908113391986,142,0
16.27565982404692,136,0
16.37341153470186,146,0
16.47116324535679,116,0
16.56891495601173,147,0
16.666666666666664,151,0
16.764418377321604,141,0
16.862170087976537,152,0
16.959921798631477,178,0
17.05767350928641,149,0
17.15542521994135,145,0
17.253176930596283,167,0
17.350928641251222,135,0
17.448680351906155,169,0
17.546432062561095,141,0
17.644183773216028,152,0
17.741935483870968,142,0
17.8396871945259,128,0
17.93743890518084,152,0
18.035190615835774,149,0
18.132942326490713,164,0
18.230694037145646,159,0
18.328445747800586,159,0
18.42619745845552,152,0
18.52394916911046,138,0
18.621700879765392,175,0
18.71945259042033,158,0
18.817204301075268,140,0
18.914956011730204,127,0
19.012707722385144,132,0
19.110459433040077,125,0
19.208211143695017,120,0
19.30596285434995,139,0
19.40371456500489,111,0
19.501466275659823,155,0
19.599217986314763,129,0
19.696969696969695,171,0
19.794721407624635,268,0
19.892473118279568,407,0
19.990224828934508,599,0
20.08797653958944,639,0
20.18572825024438,634,0
20.283479960899314,571,0
20.381231671554254,469,0
20.478983382209186,374,0
20.576735092864126,262,0
20.67448680351906,215,0
20.772238514174,176,0
20.869990224828932,124,0
20.967741935483872,110,0
21.065493646138805,99,0
21.163245356793745,104,0
21.260997067448677,106,0
21.358748778103617,108,0
21.45650048875855,76,0
21.55425219941349,82,0
21.652003910068423,69,0
21.749755620723363,79,0
21.847507331378296,68,0
21.945259042033236,64,0
22.04301075268817,57,0
22.14076246334311,68,0
22.23851417399804,59,0
22.33626588465298,65,0
22.434017595307914,56,0
22.531769305962854,70,0
22.629521016617787,45,0
22.727272727272727,39,0
22.82502443792766,56,0
22.9227761485826,73,0
23.02052785923754,54,0
23.118279569892472,53,0
23.216031280547412,47,0
23.313782991202345,54,0
23.411534701857285,56,0
23.509286412512218,41,0
23.607038123167158,61,0
23.70478983382209,61,0
23.80254154447703,49,0
23.900293255131963,47,0
23.998044965786903,60,0
24.095796676441836,54,0
24.193548387096776,58,0
24.29130009775171,51,0
24.38905180840665,50,0
24.48680351906158,56,0
24.58455522971652,52,0
24.682306940371454,49,0
24.780058651026394,55,0
24.877810361681327,56,0
24.975562072336267,59,0
25.0733137829912,69,0
25.17106549364614,60,0
25.268817204301072,95,0
25.366568914956012,119,0
25.464320625610945,277,0
25.562072336265885,436,0
25.659824046920818,501,0
25.757575757575758,542,0
25.85532746823069,498,0
25.95307917888563,461,0
26.050830889540563,334,0
26.148582600195503,245,0
26.246334310850436,186,0
26.344086021505376,124,0
26.44183773216031,80,0
26.53958944281525,83,0
26.63734115347018,64,0
26.73509286412512,53,0
26.832844574780054,47,0
26.930596285434994,56,0
27.028347996089927,50,0
27.126099706744867,39,0
27.223851417399807,51,0
27.32160312805474,49,0
27.41935483870968,44,0
27.517106549364613,40,0
27.614858260019552,35,0
27.712609970674485,38,0
27.810361681329425,43,0
27.908113391984358,37,0
28.005865102639298,34,0
28.10361681329423,51,0
28.20136852394917,37,0
28.299120234604104,37,0
28.396871945259043,37,0
28.494623655913976,39,0
28.592375366568916,33,0
28.69012707722385,26,0
28.78787878787879,44,0
28.885630498533722,27,0
28.98338220918866,25,0
29.081133919843595,31,0
29.178885630498534,24,0
29.276637341153467,24,0
29.374389051808407,35,0
29.47214076246334,32,0
29.56989247311828,32,0
29.667644183773213,36,0
29.765395894428153,29,0
29.863147605083086,30,0
29.960899315738025,42,0
30.05865102639296,39,0
30.156402737047898,32,0
30.25415444770283,36,0
30.35190615835777,32,0
30.449657869012704,26,0
30.547409579667644,31,0
30.645161290322577,15,0
30.742913000977516,31,0
30.84066471163245,29,0
30.93841642228739,44,0
31.036168132942322,24,0
31.133919843597262,30,0
31.2316715542522,33,0
31.329423264907135,31,0
31.427174975562075,36,0
31.524926686217007,30,0
31.622678396871947,22,0
31.72043010752688,30,0
31.81818181818182,22,0
31.915933528836753,29,0
32.01368523949169,37,0
32.111436950146626,24,0
32.20918866080156,27,0
32.3069403714565,30,0
32.40469208211144,31,0
32.50244379276637,29,0
32.600195503421304,28,0
32.697947214076244,30,0
32.795698924731184,25,0
32.89345063538612,37,0
32.99120234604105,27,0
33.08895405669599,21,0
33.18670576735093,25,0
33.28445747800586,29,0
33.382209188660795,25,0
33.47996089931574,19,0
33.577712609970675,36,0
33.67546432062561,22,0
33.77321603128055,35,0
33.87096774193549,23,0
33.96871945259042,36,0
34.06647116324535,29,0
34.16422287390029,29,0
34.26197458455523,26,0
34.359726295210166,25,0
34.4574780058651,23,0
34.55522971652004,24,0
34.65298142717498,29,0
34.75073313782991,27,0
34.848484848484844,36,0
34.946236559139784,31,0
35.043988269794724,23,0
35.14173998044966,30,0
35.23949169110459,32,0
35.33724340175953,28,0
35.43499511241447,20,0
35.5327468230694,23,0
35.630498533724335,23,0
35.728250244379275,25,0
35.826001955034215,41,0
35.92375366568915,24,0
36.02150537634408,33,0
36.11925708699902,26,0
36.21700879765396,27,0
36.31476050830889,24,0
36.412512218963826,27,0
36.510263929618766,34,0
36.608015640273706,38,0
36.70576735092864,28,0
36.80351906158357,29,0
36.90127077223851,25,0
36.99902248289345,25,0
37.096774193548384,30,0
37.19452590420332,41,0
37.29227761485826,34,0
37.3900293255132,34,0
37.48778103616813,27,0
37.58553274682306,26,0
37.68328445747801,48,0
37.78103616813294,32,0
37.878787878787875,37,0
37.976539589442815,40,0
38.074291300097755,38,0
38.17204301075269,37,0
38.26979472140762,30,0
38.36754643206256,39,0
38.4652981427175,40,0
38.56304985337243,38,0
38.660801564027366,26,0
38.758553274682306,27,0
38.856304985337246,41,0
38.95405669599218,33,0
39.05180840664711,37,0
39.14956011730205,40,0
39.24731182795699,46,0
39.345063538611925,37,0
39.44281524926686,29,0
39.5405669599218,35,0
39.63831867057674,43,0
39.73607038123167,31,0
39.8338220918866,30,0
39.93157380254154,40,0
40.02932551319648,41,0
40.127077223851416,37,0
40.22482893450635,30,0
40.32258064516129,35,0
40.42033235581623,34,0
40.51808406647116,35,0
40.615835777126094,36,0
40.713587487781034,29,0
40.811339198435974,23,0
40.90909090909091,24,0
41.00684261974584,32,0
41.10459433040078,26,0
41.20234604105572,32,0
41.30009775171065,26,0
41.397849462365585,22,0
41.495601173020525,31,0
41.593352883675465,23,0
41.6911045943304,27,0
41.78885630498534,18,0
41.88660801564028,24,0
41.98435972629521,21,0
42.08211143695014,21,0
42.17986314760508,14,0
42.27761485826002,25,0
42.375366568914956,19,0
42.47311827956989,18,0
42.57086999022483,27,0
42.66862170087977,17,0
42.7663734115347,17,0
42.864125122189634,20,0
42.961876832844574,14,0
43.059628543499514,20,0
43.15738025415445,25,0
43.25513196480938,24,0
43.35288367546432,15,0
43.45063538611926,13,0
43.54838709677419,16,0
43.646138807429125,19,0
43.743890518084065,19,0
43.841642228739005,20,0
43.93939393939394,11,0
44.03714565004887,13,0
44.13489736070381,15,0
44.23264907135875,20,0
44.33040078201368,16,0
44.428152492668616,13,0
44.525904203323556,16,0
44.623655913978496,9,0
44.72140762463343,11,0
44.81915933528836,14,0
44.9169110459433,9,0
45.01466275659824,13,0
45.112414467253174,6,0
45.21016617790811,12,0
45.30791788856305,9,0
45.40566959921799,12,0
45.50342130987292,7,0
45.60117302052785,10,0
45.69892473118279,6,0
45.79667644183773,12,0
45.894428152492665,12,0
45.992179863147605,5,0
46.089931573802545,12,0
46.18768328445748,10,0
46.28543499511241,10,0
46.38318670576735,8,0
46.48093841642229,8,0
46.57869012707722,7,0
46.676441837732156,9,0
46.774193548387096,4,0
46.871945259042036,6,0
46.96969696969697,8,0
47.0674486803519,13,0
47.16520039100684,9,0
47.26295210166178,8,0
47.360703812316714,9,0
47.45845552297165,10,0
47.55620723362659,13,0
47.65395894428153,11,0
47.75171065493646,10,0
47.84946236559139,11,0
47.94721407624633,13,0
48.04496578690127,13,0
48.142717497556205,13,0
